<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BTSX.ETH/USD;60;20180111;100000;1152.8800000;1214.0000000;1151.0000000;1195.0100000;7870
BTSX.ETH/USD;60;20180111;110000;1195.0100000;1230.0000000;1181.4100000;1228.2500000;6181
BTSX.ETH/USD;60;20180111;120000;1228.2500000;1242.4200000;1227.0000000;1236.2300000;4510
BTSX.ETH/USD;60;20180111;130000;1236.2300000;1242.0000000;1208.5800000;1226.6400000;3141
BTSX.ETH/USD;60;20180111;140000;1226.6400000;1228.6500000;1179.7900000;1181.2700000;3579
BTSX.ETH/USD;60;20180111;150000;1181.2800000;1197.4900000;1151.0000000;1189.0000000;4255
BTSX.ETH/USD;60;20180111;160000;1189.0000000;1208.9700000;1182.8200000;1203.0000000;5194
BTSX.ETH/USD;60;20180111;170000;1203.0100000;1205.9400000;1160.7100000;1193.8600000;5249
BTSX.ETH/USD;60;20180111;180000;1193.8600000;1215.5000000;1189.8100000;1198.0500000;5769
BTSX.ETH/USD;60;20180111;190000;1198.0500000;1238.3900000;1198.0400000;1219.1100000;8013
BTSX.ETH/USD;60;20180111;200000;1219.0400000;1244.9900000;1218.0000000;1225.9700000;6870
BTSX.ETH/USD;60;20180111;210000;1225.9700000;1233.0300000;1216.2400000;1224.0000000;5419
BTSX.ETH/USD;60;20180111;220000;1224.0000000;1225.0000000;1217.4900000;1220.0300000;3582
BTSX.ETH/USD;60;20180111;230000;1220.0000000;1223.0000000;1157.7100000;1174.7200000;8232
BTSX.ETH/USD;60;20180112;000000;1174.7200000;1193.9700000;1141.2000000;1182.2800000;6686
BTSX.ETH/USD;60;20180112;010000;1182.2700000;1182.2800000;1153.0100000;1174.9000000;4670
BTSX.ETH/USD;60;20180112;020000;1174.4600000;1174.9000000;1100.0000000;1128.7900000;5702
BTSX.ETH/USD;60;20180112;030000;1128.7900000;1144.6900000;1083.9700000;1137.0100000;11218
BTSX.ETH/USD;60;20180112;040000;1137.0100000;1138.7400000;1089.1800000;1125.0000000;9687
BTSX.ETH/USD;60;20180112;050000;1125.0000000;1183.9600000;1113.8900000;1181.9700000;8046
BTSX.ETH/USD;60;20180112;060000;1182.8000000;1194.9800000;1159.5600000;1181.9700000;7580
BTSX.ETH/USD;60;20180112;070000;1181.9700000;1215.0000000;1159.9800000;1212.0000000;7556
BTSX.ETH/USD;60;20180112;080000;1212.0000000;1213.9900000;1189.9500000;1213.0000000;4705
BTSX.ETH/USD;60;20180112;090000;1213.0000000;1219.9700000;1198.0100000;1209.9000000;4295
BTSX.ETH/USD;60;20180112;100000;1209.9000000;1218.5000000;1202.6600000;1214.1600000;5629
BTSX.ETH/USD;60;20180112;110000;1214.1600000;1215.9000000;1201.5900000;1205.3800000;3132
